epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,9033.44,0.7167,0.42848,1.13648,0.99855,0.99824,0.99493,0.8334,0.76033,0.28305,1.22621,1.981e-05,1.981e-05,1.981e-05
83,9144.26,0.71526,0.42554,1.13061,0.9981,0.99766,0.99492,0.83318,0.76354,0.28584,1.22937,1.882e-05,1.882e-05,1.882e-05
84,9253.92,0.71809,0.42743,1.13487,0.9986,0.99824,0.99493,0.83147,0.75979,0.28368,1.22554,1.783e-05,1.783e-05,1.783e-05
85,9366.16,0.70404,0.42135,1.12699,0.99805,0.99766,0.99494,0.82911,0.7623,0.28524,1.22713,1.684e-05,1.684e-05,1.684e-05
86,9477.49,0.71228,0.41848,1.13321,0.99862,0.99824,0.99493,0.83055,0.76244,0.28285,1.22666,1.585e-05,1.585e-05,1.585e-05
87,9588.77,0.70853,0.42296,1.1305,0.99803,0.99766,0.99495,0.83408,0.75861,0.28224,1.22266,1.486e-05,1.486e-05,1.486e-05
88,9698.98,0.70832,0.42414,1.12667,0.99861,0.99824,0.99496,0.83398,0.7562,0.28183,1.22229,1.387e-05,1.387e-05,1.387e-05
89,9809.95,0.70414,0.42143,1.12708,0.99867,0.99824,0.99495,0.83487,0.75477,0.28038,1.22137,1.288e-05,1.288e-05,1.288e-05
90,9919.99,0.70134,0.41766,1.12881,0.99853,0.99824,0.99495,0.83533,0.75387,0.27934,1.22097,1.189e-05,1.189e-05,1.189e-05
91,10029.8,0.68197,0.28953,1.17414,0.99824,0.99811,0.99496,0.83053,0.75524,0.27968,1.22294,1.09e-05,1.09e-05,1.09e-05
92,10136.1,0.67141,0.27681,1.16855,0.99824,0.99822,0.99496,0.82913,0.75638,0.28241,1.22362,9.91e-06,9.91e-06,9.91e-06
93,10242,0.66443,0.27241,1.16021,0.99766,0.9976,0.99494,0.82787,0.75744,0.28137,1.22429,8.92e-06,8.92e-06,8.92e-06
94,10348.4,0.66768,0.27301,1.15966,0.99824,0.99815,0.99495,0.82785,0.75745,0.28035,1.22338,7.93e-06,7.93e-06,7.93e-06
95,10454.3,0.66296,0.2723,1.15736,0.99824,0.99814,0.99495,0.82865,0.75615,0.27947,1.22199,6.94e-06,6.94e-06,6.94e-06
96,10562.4,0.66106,0.26972,1.15415,0.99824,0.99822,0.99493,0.83051,0.75447,0.27822,1.22002,5.95e-06,5.95e-06,5.95e-06
97,10668.5,0.6574,0.26875,1.15078,0.99759,0.99766,0.99493,0.8295,0.75356,0.27779,1.21946,4.96e-06,4.96e-06,4.96e-06
98,10775.3,0.65686,0.26718,1.14723,0.99756,0.99766,0.99493,0.83039,0.75344,0.27791,1.21955,3.97e-06,3.97e-06,3.97e-06
99,10881.9,0.65505,0.26755,1.15344,0.99756,0.99766,0.99493,0.83117,0.75387,0.27772,1.2204,2.98e-06,2.98e-06,2.98e-06
100,10988.9,0.65328,0.26745,1.15458,0.99757,0.99766,0.99492,0.83206,0.75447,0.27713,1.22112,1.99e-06,1.99e-06,1.99e-06
